_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
32,10.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,61719.7776624592,-62.019,-56.603,-5.416,79.173,-0.455,6918,3469,3449,6458822.3605,6368944.7336,222.9,0.3096,0.6286,0,0
33,10.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,61135.915898123436,-62.378,-56.603,-5.775,79.638,-0.453,6746,3385,3361,10459462.8134,10369968.8711,202.5,0.3081,0.6821,0,0
28,16.7,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,60491.02358670833,-62.775,-56.603,-6.172,79.628,-0.456,8768,4395,4373,7351780.5909,7260333.8497,200.2,0.3098,0.6198,0,0
24,16.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,59558.2547217031,-63.349,-56.603,-6.746,79.717,-0.464,11360,5692,5668,8422465.4704,8330632.9964,181.6,0.31,0.617,0,0
29,16.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,58802.91922570413,-63.814,-56.603,-7.211,80.489,-0.454,8595,4311,4284,11982710.8673,11890756.209,184.7,0.3086,0.6679,0,0
34,9.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,57065.23092991345,-64.883,-56.603,-8.28,83.149,-0.402,6642,3355,3287,20774735.8222,20684605.1894,188.9,0.3047,0.8643,0,0
20,14.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,56859.792879808934,-65.009,-56.603,-8.406,80.603,-0.466,14967,7497,7470,9695405.3153,9603439.4407,161.4,0.3102,0.6084,0,0
25,16.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,55910.74995316233,-65.593,-56.603,-8.99,81.07,-0.466,11104,5567,5537,13715194.969,13623795.8634,168.3,0.3088,0.6632,0,0
16,14.8,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,54253.19134879753,-66.613,-56.603,-10.01,81.385,-0.468,20433,10232,10201,11324393.232,11232833.4122,142.2,0.3104,0.6056,0,0
30,16.1,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,53817.344895708724,-66.882,-56.603,-10.279,83.695,-0.416,8530,4304,4226,23889427.8125,23797175.7573,173.0,0.3055,0.8457,0,0
21,14.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,52806.861554349955,-67.503,-56.603,-10.9,82.238,-0.458,14854,7444,7410,16030108.4736,15938758.947,151.5,0.3092,0.6544,0,0
12,14.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,50192.278219657535,-69.112,-56.603,-12.509,82.415,-0.474,28688,14364,14324,13211326.5501,13118456.6901,122.2,0.3106,0.5983,0,0
26,16.7,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,48753.854353844785,-69.998,-56.603,-13.395,84.986,-0.419,11077,5583,5494,27479078.4708,27390032.6752,160.2,0.3064,0.8343,0,0
17,14.4,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,48153.631479197655,-70.367,-56.603,-13.764,83.41,-0.464,20262,10151,10111,18683965.6933,18591594.1818,134.1,0.3096,0.6453,0,0
35,9.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,47966.70793424925,-70.482,-56.603,-13.879,90.326,-0.021,6610,3394,3216,43723041.7739,43641527.7969,182.9,0.2993,0.9885,0,0
31,16.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,46152.853097360276,-71.598,-56.603,-14.995,90.224,-0.144,8575,4391,4184,50246307.3609,50160840.9614,167.3,0.3003,0.9808,0,0
8,15.1,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,44857.733987977925,-72.395,-56.603,-15.792,83.89,-0.47,42222,21138,21084,15505306.6367,15413034.8687,102.0,0.3109,0.5894,0,0
22,14.8,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,42552.54560524822,-73.814,-56.603,-17.211,86.744,-0.403,14770,7437,7333,31981012.824,31888314.009,143.3,0.307,0.8139,0,0
13,14.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,42114.20659987494,-74.084,-56.603,-17.48,85.061,-0.453,28700,14374,14326,21998239.4252,21905727.689,115.6,0.31,0.6404,0,0
4,14.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,37320.397767887254,-77.034,-56.603,-20.431,85.987,-0.444,65790,32937,32853,18051678.741,17959941.2115,83.0,0.3111,0.5769,0,0
27,16.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,34951.175468583366,-78.492,-56.603,-21.889,92.97,-0.159,11055,5646,5409,56941305.2822,56853109.4713,154.4,0.3019,0.9693,0,0
18,14.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,33231.15255574645,-79.55,-56.603,-22.947,89.257,-0.34,20195,10158,10037,37418214.2888,37326486.3136,127.3,0.3077,0.7963,0,0
9,15.5,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,33054.615484303,-79.659,-56.603,-23.056,87.484,-0.404,42241,21151,21090,25827645.5876,25734938.324,97.5,0.3104,0.625,0,0
0,15.5,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,6515.0,390900,162500.0,29169.64962988042,-82.049,-56.603,-25.446,88.601,-0.36,104066,52109,51957,18886579.3737,18794369.2093,67.9,0.3116,0.5636,0,0
23,14.3,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,21307.069397031806,-86.888,-56.603,-30.285,96.944,0.073,14751,7514,7237,65800124.5594,65703303.9676,138.5,0.3028,0.9579,0,0
14,15.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,20956.06834431502,-87.104,-56.603,-30.501,92.384,-0.142,28594,14369,14225,43971819.6107,43876136.4148,111.0,0.3086,0.7722,0,0
5,15.0,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,20496.62898218024,-87.387,-56.603,-30.784,91.208,-0.198,65816,32950,32866,30089350.751,29996623.0351,79.8,0.3108,0.6096,0,0
1,15.8,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,6515.0,390900,162500.0,7439.273473299158,-95.422,-56.603,-38.819,97.244,0.532,104383,52251,52132,31558205.3344,31465713.6374,65.3,0.3117,0.5928,0,0
10,14.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,3205.341482682156,-98.027,-56.603,-41.424,99.509,1.501,42356,21264,21092,51906246.0517,51810941.1916,93.9,0.3094,0.7321,0,0
19,14.9,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,947.771954164297,-99.417,-56.603,-42.814,102.353,2.213,20215,10270,9945,76527983.9814,76428782.8185,122.7,0.3047,0.9405,0,0
6,15.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,-22118.325203854733,-113.611,-56.603,-57.008,113.066,0.264,66014,33110,32904,60472323.5414,60378800.4166,77.3,0.3102,0.7047,0,0
15,14.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,-25445.942825436567,-115.659,-56.603,-59.056,115.027,2.053,28615,14499,14116,89600616.2567,89500160.8889,108.2,0.3061,0.9166,0,0
2,15.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,6515.0,390900,162500.0,-48098.32045704392,-129.599,-56.603,-72.996,127.577,-0.965,104856,52540,52316,63539443.5483,63445836.3531,63.5,0.3119,0.6691,0,0
11,15.0,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,-61442.78306639235,-137.811,-56.603,-81.208,134.896,-1.421,42339,21396,20943,105308161.9378,105208936.1789,91.7,0.308,0.8853,0,0
7,15.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,-112603.00494049472,-169.294,-56.603,-112.691,164.635,-0.978,65941,33235,32706,122191253.5936,122096355.3145,75.8,0.3096,0.84,0,0
3,15.6,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,6515.0,390900,162500.0,-164717.0940032921,-201.364,-56.603,-144.761,196.728,1.295,104990,52772,52218,128469574.2085,128373080.452,62.5,0.313,0.8144,0,0
